GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
utnphones,edu.utn.utnphones.dto,NewCallRequestDto,160,21,30,0,2,4,23,4,8,4
utnphones,edu.utn.utnphones.dto,PhoneLineActionRequest,117,15,22,0,1,3,17,3,6,3
utnphones,edu.utn.utnphones.dto,LoginRequestDto,117,15,22,0,1,3,17,3,6,3
utnphones,edu.utn.utnphones.dto,UpdateUserDto,316,3,54,0,8,1,44,1,17,1
utnphones,edu.utn.utnphones.dto,ErrorResponseDto,118,0,16,0,5,0,18,0,10,0
utnphones,edu.utn.utnphones.service,PhoneLineService,74,0,6,0,19,0,9,0,6,0
utnphones,edu.utn.utnphones.service,TariffService,29,0,0,0,7,0,5,0,5,0
utnphones,edu.utn.utnphones.service,CallService,61,0,4,0,13,0,9,0,7,0
utnphones,edu.utn.utnphones.service,InvoiceService,41,0,0,0,9,0,7,0,7,0
utnphones,edu.utn.utnphones.service,UserService,136,0,8,0,29,0,14,0,10,0
utnphones,edu.utn.utnphones.utils,RestUtils,42,0,0,0,16,0,4,0,4,0
utnphones,edu.utn.utnphones,UtnphonesApplication,8,0,0,0,3,0,2,0,2,0
utnphones,edu.utn.utnphones.controller.web,LoginController,0,49,0,0,0,13,0,4,0,4
utnphones,edu.utn.utnphones.controller.web,WebUserController,0,231,0,22,0,43,0,18,0,7
utnphones,edu.utn.utnphones.controller.web,AdviceController,62,0,0,0,7,0,7,0,7,0
utnphones,edu.utn.utnphones.controller.web,BackOfficeWebController,0,333,0,38,0,60,0,34,0,15
utnphones,edu.utn.utnphones.controller.web,InfrastructureController,0,32,0,0,0,7,0,3,0,3
utnphones,edu.utn.utnphones.controller,UserController,0,35,0,4,0,9,0,7,0,5
utnphones,edu.utn.utnphones.exceptions,InvalidRequestException,0,4,0,0,0,1,0,1,0,1
utnphones,edu.utn.utnphones.exceptions,ValidationException,0,4,0,0,0,1,0,1,0,1
utnphones,edu.utn.utnphones.exceptions,RecordAlreadyExistsException,4,0,0,0,1,0,1,0,1,0
utnphones,edu.utn.utnphones.exceptions,RecordNotExistsException,4,0,0,0,1,0,1,0,1,0
utnphones,edu.utn.utnphones.config,Configuration,69,0,0,0,19,0,5,0,5,0
utnphones,edu.utn.utnphones.session,SessionBackOfficeFilter,37,0,4,0,8,0,4,0,2,0
utnphones,edu.utn.utnphones.session,Session,33,0,0,0,14,0,7,0,7,0
utnphones,edu.utn.utnphones.session,SessionScheduler,7,0,0,0,3,0,2,0,2,0
utnphones,edu.utn.utnphones.session,SessionFilter,25,0,2,0,7,0,3,0,2,0
utnphones,edu.utn.utnphones.session,SessionManager,132,0,12,0,28,0,12,0,6,0
utnphones,edu.utn.utnphones.session,SessionInfrastructureFilter,37,0,4,0,8,0,4,0,2,0
utnphones,edu.utn.utnphones.model,User.Type,0,34,0,0,0,2,0,1,0,1
utnphones,edu.utn.utnphones.model,Tariff,270,3,46,0,7,1,38,1,15,1
utnphones,edu.utn.utnphones.model,User,460,46,90,0,19,6,64,6,19,6
utnphones,edu.utn.utnphones.model,PhoneLine.Type,0,24,0,0,0,2,0,1,0,1
utnphones,edu.utn.utnphones.model,User.Status,0,24,0,0,0,2,0,1,0,1
utnphones,edu.utn.utnphones.model,PhoneLine,341,24,62,0,9,1,50,1,19,1
utnphones,edu.utn.utnphones.model,Call,424,33,78,0,10,2,61,2,22,2
utnphones,edu.utn.utnphones.model,City,227,0,38,0,7,0,33,0,14,0
utnphones,edu.utn.utnphones.model,Province,135,0,22,0,5,0,21,0,10,0
utnphones,edu.utn.utnphones.model,PhoneLine.Status,0,34,0,0,0,2,0,1,0,1
utnphones,edu.utn.utnphones.model,Invoice,457,0,78,0,12,0,63,0,24,0
